City,State,Population
Troy, Michigan,"84,111"
Chino Hills, California,"83,239"
Alhambra, California,"84,373"
Merced, California,"83,113"
Trenton, New Jersey,"83,604"
Franklin, Tennessee,"81,027"
Medford, Oregon,"82,333"
Melbourne, Florida,"82,603"
Manteca, California,"81,603"
Mountain View, California,"83,168"
Sioux City, Iowa,"82,380"
Lynchburg, Virginia,"81,309"
Buena Park, California,"82,187"
Pleasanton, California,"82,357"
Longview, Texas,"81,191"
Westland, Michigan,"81,752"
Auburn, Washington,"81,789"
Cranston, Rhode Island,"81,335"
Somerville, Massachusetts,"81,357"
Folsom, California,"78,842"
Springdale, Arkansas,"80,907"
Deerfield Beach, Florida,"80,666"
Warwick, Rhode Island,"80,966"
Cicero, Illinois,"81,477"
Farmington Hills, Michigan,"80,939"
Brooklyn Park, Minnesota,"80,524"
Lawrence, Massachusetts,"80,112"
Plymouth, Minnesota,"79,345"
Buckeye, Arizona,"74,339"
Georgetown, Texas,"74,275"
Cedar Park, Texas,"76,903"
Tustin, California,"79,578"
Lakewood, California,"79,907"
Perris, California,"78,903"
Flower Mound, Texas,"77,562"
Pharr, Texas,"78,925"
Loveland, Colorado,"77,752"
Boynton Beach, Florida,"77,949"
New Rochelle, New York,"78,822"
Temple, Texas,"76,165"
Lake Charles, Louisiana,"78,266"
Jonesboro, Arkansas,"77,234"
Napa, California,"78,946"
Parma, Ohio,"78,622"
Layton, Utah,"77,181"
Alameda, California,"78,344"
Warner Robins, Georgia,"76,365"
Rapid City, South Dakota,"76,170"
Bloomington, Illinois,"77,804"
Gastonia, North Carolina,"76,885"
Baytown, Texas,"76,592"
Upland, California,"76,833"
Racine, Wisconsin,"77,075"
Scranton, Pennsylvania,"77,017"
South Jordan, Utah,"73,837"
Bellflower, California,"76,906"
Kalamazoo, Michigan,"76,483"
San Ramon, California,"75,851"
Bethlehem, Pennsylvania,"75,742"
Wyoming, Michigan,"75,839"
Hammond, Indiana,"75,877"
Missoula, Montana,"74,882"
Missouri City, Texas,"74,834"
Pasco, Washington,"74,485"
Baldwin Park, California,"75,572"
Iowa City, Iowa,"75,696"
Rancho Cordova, California,"74,478"
Rock Hill, South Carolina,"74,458"
Flagstaff, Arizona,"73,762"
Gary, Indiana,"75,210"
St. Joseph, Missouri,"75,604"
Arlington Heights village, Illinois,"75,116"
Bolingbrook vi, Illinois,"75,043"
Rochester Hills, Michigan,"74,544"
Framingham, Massachusetts,"72,909"
Union City, California,"74,560"
Appleton, Wisconsin,"74,378"
Turlock, California,"73,396"
Camden, New Jersey,"73,725"
Bismarck, North Dakota,"73,229"
Evanston, Illinois,"73,990"
Apple Valley, California,"73,349"
Schaumburg vi, Illinois,"73,388"
Woodbury, Minnesota,"71,231"
Kissimmee, Florida,"73,751"
Southfield, Michigan,"72,976"
Maple Grove, Minnesota,"71,711"
Pittsburg, California,"72,450"
New Britain, Connecticut,"72,591"
Jacksonville, North Carolina,"72,775"
Mansfield, Texas,"70,796"
Waukesha, Wisconsin,"72,453"
Frederick, Maryland,"71,945"
Albany, Georgia,"73,219"
Pawtucket, Rhode Island,"71,973"
Redmond, Washington,"67,436"
Lauderhill, Florida,"71,924"
Lafayette, Indiana,"72,233"
Gulfport, Mississippi,"71,771"
Redlands, California,"71,416"
Weston, Florida,"71,030"
St. Charles, Missouri,"70,807"
Decatur, Illinois,"71,136"
North Port, Florida,"68,438"
North Richland Hills, Texas,"70,686"
Greenville, South Carolina,"68,849"
Bowling Green, Kentucky,"68,633"
Broomfield, Colorado,"69,324"
Canton, Ohio,"70,752"
Marysville, Washington,"69,606"
Walnut Creek, California,"69,843"
Wilmington, Delaware,"70,457"
Camarillo, California,"68,883"
Lynwood, California,"70,285"
Lehi, Utah,"65,958"
Passaic, New Jersey,"69,932"
Homestead, Florida,"69,254"
Delray Beach, Florida,"69,176"
Davis, California,"69,220"
Lake Elsinore, California,"68,051"
Daytona Beach, Florida,"68,709"
Dothan, Alabama,"68,337"
Rocklin, California,"67,065"
Eau Claire, Wisconsin,"68,770"
Rogers, Arkansas,"67,635"
Castle Rock, Colorado,"65,000"
St. Cloud, Minnesota,"68,181"
